databaseId	type	name	mainText
eb1	Base	Lothal	Start the game with this base in play.
eb10	Base	Rodia	When you reveal Rodia, deal 1 damage to the enemy base for each enemy card in the galaxy row. Then discard each of those cards from the galaxy row.
eb2	Base	Corellia	When you reveal Corellia, purchase an Empire or neutral card from the galaxy row for free and add it to your hand.
eb3	Base	Kessel	When you reveal Kessel, exile up to 3 cards from your hand or discard pile.
eb4	Base	Kafrene	When you play a neutral card for the first time each turn, draw 1 card.
eb5	Base	Mustafar	When you reveal Mustafar, gain 4 [resource].
eb6	Base	Ord Mantell	While Ord Mantell is your base, you can bounty hunt 1 neutral unit in the galaxy row each turn, using its cost as its target value. If you defeat that card, gain [resource] equal to its cost.
eb7	Base	Coruscant	When your turn begins, look at the top 2 cards of the galaxy deck. Place one on top of the deck and discard the other.
eb8	Base	Death Star	Spend 4 [resource] to destroy a capital ship your opponent has in play or a capital ship in the galaxy row.
eb9	Base	Endor	While Endor is your base, each of your Trooper and Vehicle units gains 1 [attack].
ecs1	CapitalShip	Gozanti Cruiser	Discard 1 card from your hand to draw 1 card.
ecs2	CapitalShip	Imperial Carrier	While Imperial Carrier is in play, each of your Fighter units gains 1 [attack].
ecs3	CapitalShip	Star Destroyer	
es1	Unit	Imperial Shuttle	
es2	Unit	Stormtrooper	
es3	Unit	Inquisitor	When you play Inquisitor, choose: They gain 1 [attack], 1 [resource], or 1 [force] this turn.
g1	Unit	Y-Wing	Exile this unit to deal 2 damage to your opponent's base or a capital ship they have in play.
g10	Unit	U-Wing	If the Force is with you, repair 3 damage from your base.
g11	Unit	Han Solo	Draw 1 card (2 cards instead if you have the Millennium Falcon in play).
g12	Unit	Cassian Andor	When Cassian Andor defeats a target in the galaxy row, your opponent discards 1 card from their hand.
g13	Unit	B-Wing	Your opponent must choose: Either they discard 1 card from their hand, or this unit gains 2 [attack].
g14	Unit	Princess Leia	Purchase a Rebel card from the galaxy row for free. If the Force is with you, place that card on top of your deck.
g15	Unit	Millennium Falcon	Add a unique ([unique]) unit from your discard pile to your hand.
g16	Unit	Luke Skywalker	If the Force is with you, destroy a capital ship your opponent has in play.
g17	Unit	Tie Fighter	If you have a capital ship in play, draw 1 card.
g18	Unit	Admiral Piett	While Admiral Piett is in play, each of your capital ships gains 1 [attack].
g19	Unit	Tie Bomber	Discard 1 card from the galaxy row.
g2	Unit	Baze Malbus	Baze Malbus gains 1 [attack] for each Rebel base in your opponent's victory pile.
g20	Unit	Scout Trooper	Reveal the top card of the galaxy deck. If it is an Empire card, gain 1 [resource]. If it is an enemy card, discard it.
g21	Unit	Death Trooper	While the Force is with you, this unit gains 2 [attack].
g22	Unit	Tie Interceptor	Reveal the top card of the galaxy deck. If it is an Empire card, draw 1 card. If it is an enemy card, discard it.
g23	Unit	Moff Jerjerrod	Look at the top card of the galaxy deck. If the Force is with you, you may swap that card with a card from the galaxy row.
g24	Unit	General Veers	If you have a Trooper or Vehicle in play, draw 1 card.
g25	Unit	AT-ST	Discard 1 card from the galaxy row.
g26	Unit	Landing Craft	Choose: Gain 4 [resource], or repair 4 damage from your base.
g27	Unit	Director Krennic	Draw 1 card (2 cards instead if your base is the Death Star).
g28	Unit	Boba Fett	When Boba Fett defeats a target in the galaxy row, draw 1 card.
g29	Unit	AT-AT	Add a Trooper from your discard pile to your hand.
